epoch,bw_idx,Bitrate(bps),Selected,CodebookUsage,CodeUtil(%),TimeLoss(e-3),FreqLoss(e-3),FeatLoss(e-3),AdvLoss(e-3),DisLoss(e-3),CommitLoss(e-6),PESQ,ESTOI,TotalScore
1,0,300,489,128/128,97.42534240395041,59.38797694743289,898.3656751841368,4.339723463088335,-19.707209612519037,998.5383116394464,37295.26853638643,0.0,0.0,0.0
1,1,600,1007,256/256,97.03091613258385,57.33094883429732,882.5218073779564,8.546769206274334,224.90970737854798,994.1189613455931,45482.56948206958,0.0,0.0,0.0
1,2,1200,1504,512/512,97.91837463314118,58.594349501753584,894.375140283336,8.624513645004976,184.83169591831455,991.3805578934385,53963.1465307175,0.0,0.0,0.0
2,0,300,495,128/128,95.23367609309075,49.564792072833185,739.5331762655817,15.738367277075245,430.3337396846877,963.3015048624289,3246.427122506459,0.0,0.0,0.0
2,1,600,991,256/256,94.93888449008956,50.15091742760117,746.4248376224645,24.329423308598045,365.6649981201537,946.3661361173713,4095.91057922599,0.0,0.0,0.0
2,2,1200,1514,512/512,95.77592644351249,50.57529001552095,746.0052007649344,36.15956496671236,404.98780570382957,889.0422320035207,4801.4648077546435,0.0,0.0,0.0
3,0,300,492,128/128,91.31618373576684,46.52962459599584,459.78593281129514,19.43063397505661,375.91427376084937,946.1954456519305,80.85664315634251,0.0,0.0,0.0
3,1,600,1056,256/256,91.83901503754753,46.433440988149606,453.1570676939957,46.27167118826147,425.38978047245604,887.984597491044,97.8998073495666,0.0,0.0,0.0
3,2,1200,1452,512/512,91.30073435660584,46.26779546371094,451.2070714606398,47.6503496163476,490.8302344302275,812.1612850299551,111.29278520592162,0.0,0.0,0.0
4,0,300,471,128/128,90.94767087525702,45.783768200380784,437.05994637402256,34.53087524338892,396.7797696716973,895.5796344518155,141.47752763222974,0.0,0.0,0.0
4,1,600,987,256/256,90.8730117875567,45.707662545499346,428.50146304510287,71.24820664872273,499.5815429304327,804.2819733677665,175.565175923738,0.0,0.0,0.0
4,2,1200,1542,512/512,91.2864701285535,45.824564539195656,426.0365457386358,54.01900828116599,591.665564507159,739.0004901647877,199.39182581545046,0.0,0.0,0.0
5,0,300,496,128/128,85.24844091754092,44.71423103654337,418.78770261762605,54.48575682126947,476.94754038351556,822.9526210456125,991.2863564339557,0.0,0.0,0.0
5,1,600,1022,256/256,89.02569744254303,44.71339078332113,408.5241676601645,85.00980819099803,559.5590941053897,725.5771918889361,1226.1907373228769,0.0,0.0,0.0
5,2,1200,1482,512/512,91.30620864787842,44.81579737383344,404.246024958357,55.65297627487244,738.7226408651644,639.9869538954234,1386.410829194164,0.0,0.0,0.0
6,0,300,488,128/128,87.93481576635018,43.51362604342523,393.9361954565908,58.53451880030945,468.44828485312763,845.3376090428868,3721.4864564479376,0.0,0.0,0.0
6,1,600,1004,256/256,89.12304079680443,43.87068078367121,364.51888191272536,80.51791737427511,524.010668010117,747.9643087938013,4446.758785001206,0.0,0.0,0.0
6,2,1200,1508,512/512,91.0061402574317,43.956132042431705,356.4261149624931,49.650077977333844,711.2835791821664,641.7174168543727,4867.042127820053,0.0,0.0,0.0
7,0,300,524,128/128,87.65952199935975,42.999697202205205,379.76252259188936,58.60743466195942,437.8234857252536,847.680234840808,5211.138879642146,0.0,0.0,0.0
7,1,600,1009,256/256,89.19739708727583,43.62769808889735,341.14763639845154,73.52510956739056,544.9349381273282,744.4408188017438,6470.118774372505,0.0,0.0,0.0
7,2,1200,1467,512/512,91.31891805887254,43.902173955768,333.69025884636744,49.35850934128657,789.9079362835784,606.1852696239339,7483.513540465794,0.0,0.0,0.0
8,0,300,492,128/128,88.67457314997812,43.85131229532928,351.54974430314894,57.06918697683065,486.5424779917651,847.355020724661,17145.222666241774,0.0,0.0,0.0
8,1,600,1011,256/256,90.88251815113404,43.87322951082424,323.511008604344,66.9119145525905,605.03813997648,756.268036412674,20974.22896739755,0.0,0.0,0.0
8,2,1200,1497,512/512,93.3994223831932,43.72946815982053,315.57524558617104,44.863148834419476,799.731822673209,639.1286738291532,23623.34903369427,0.0,0.0,0.0
9,0,300,505,128/128,86.36962999842599,44.54212938942531,307.2396182777858,50.439929615448015,490.98911667519275,857.8428538719027,25964.59973714139,0.0,0.0,0.0
9,1,600,991,256/256,90.11568738044959,43.88014509086051,279.90849549185737,53.9343194692094,616.7546177299846,779.4436213948532,32373.77343404245,0.0,0.0,0.0
9,2,1200,1504,512/512,93.37103219845302,43.66857063104498,274.00760588414494,37.93242038970694,777.2325191329768,660.1420744777994,36605.34792010018,0.0,0.0,0.0
10,0,300,515,128/128,90.36752428190879,44.306611414383916,263.7239094498088,43.47478708306563,497.58549095357506,869.8647980551118,29738.824564999748,1.4661586025486821,0.38105269635602285,0.361
10,1,600,975,256/256,92.48393416011662,43.887371512559746,237.4861646309877,44.331225531223495,606.8852555446135,796.2115623400762,38632.154629016535,1.5254815298578013,0.4301038082947773,0.361
10,2,1200,1510,512/512,94.59012529993795,43.2323851727492,230.86530977724405,31.91428276037933,715.2059274250703,689.6364817950899,44243.719344896985,1.5517986339071523,0.4444585782319045,0.361
